time,weight,T0,T1,bin_71_122,bin_122_173,bin_173_224,bin_224_276,bin_276_327,bin_327_378,bin_378_429,bin_429_480,bin_480_532,bin_532_583
2020-06-26 13:00:00+00:00,32.91,25.87,26.59,12.0,8.0,5.0,4.5,3.5,3.5,3.5,3.0,3.0,0.5
2020-06-26 14:00:00+00:00,32.93,27.4,28.64,12.0,7.62,5.75,5.12,4.25,3.88,3.62,3.25,2.88,0.88
2020-06-26 15:00:00+00:00,32.98,27.6,28.32,10.75,7.25,5.5,5.25,4.25,3.75,3.5,2.75,2.75,1.0
2020-06-26 16:00:00+00:00,33.07,29.15,29.22,10.31,7.0,8.38,8.38,8.92,7.31,6.38,3.62,3.69,1.77
2020-06-26 17:00:00+00:00,33.15,27.67,27.69,11.07,13.21,7.0,10.07,6.43,6.36,3.43,4.0,3.0,1.0
2020-06-26 18:00:00+00:00,33.24,25.01,25.19,13.06,10.67,8.17,7.28,4.17,3.67,3.39,2.94,3.06,0.94
2020-06-26 19:00:00+00:00,33.35,22.2,22.33,11.4,9.6,9.4,7.67,4.73,4.07,5.93,4.53,4.93,1.07
2020-06-26 20:00:00+00:00,33.37,20.74,20.82,9.78,6.83,5.72,4.39,4.06,5.28,4.72,4.56,5.67,1.44
2020-06-26 21:00:00+00:00,33.35,20.33,20.37,9.83,7.83,5.56,4.89,4.17,4.06,5.72,4.22,4.72,1.11
2020-06-26 22:00:00+00:00,33.32,19.49,19.54,9.62,6.52,4.95,4.52,4.29,3.81,3.48,3.14,3.52,0.81
2020-06-26 23:00:00+00:00,33.3,18.73,18.79,9.35,6.94,4.88,4.12,4.06,3.94,4.82,3.18,3.12,1.0
2020-06-27 00:00:00+00:00,33.27,18.49,18.54,9.58,6.26,5.37,4.63,4.21,3.79,3.37,3.16,2.95,0.89
2020-06-27 01:00:00+00:00,33.25,18.33,18.4,9.61,6.29,5.34,4.54,3.98,3.68,3.27,3.17,2.95,1.0
2020-06-27 02:00:00+00:00,33.23,18.28,18.36,9.74,6.47,5.19,4.4,4.05,3.47,3.28,3.16,2.91,0.93
2020-06-27 03:00:00+00:00,33.19,17.94,18.03,9.31,6.38,5.26,4.4,3.98,3.62,3.48,3.14,3.0,0.86
2020-06-27 04:00:00+00:00,33.17,18.09,18.19,9.19,6.29,5.14,4.5,3.9,3.43,3.43,3.14,3.12,0.83
2020-06-27 05:00:00+00:00,33.15,18.59,18.68,9.08,6.15,5.04,4.23,3.79,3.65,3.23,3.12,2.98,0.81
2020-06-27 06:00:00+00:00,33.1,19.47,19.58,9.2,6.4,5.15,4.42,3.85,3.67,3.52,3.47,3.1,0.87
